,mort,GDPc,clusters,index,res,Country,ISO-code
0,35.86,2182.0,0,0.09350667635194129,0.006309999033182023,Afghanistan,AFG
1,7.52,14866.0,1,0.48730730989915144,0.008224524370841127,Albania,ALB
2,16.28,16091.0,3,0.36579521415419713,0.08814604358984482,Algeria,DZA
3,27.57,6763.0,0,0.20618266106316258,0.027531652643179128,Angola,AGO
4,3.65,30593.0,1,0.5855639891596331,0.00255012844975012,Antigua and Barbuda,ATG
5,6.08,19971.0,1,0.5215113828239939,0.014133869358905737,Argentina,ARG
6,6.4,11845.0,1,0.4892723282014861,0.029563551280158498,Armenia,ARM
7,2.28,54799.0,2,0.7095547132314457,0.0037113611135952355,Australia,AUS
8,2.06,55171.0,2,0.711667862127796,0.008663122658840828,Austria,AUT
9,10.89,19156.0,1,0.4533583184309647,0.08287726323943966,Azerbaijan,AZE
10,2.94,51991.0,2,0.6945921471803284,0.009798419801827067,Bahrain,BHR
11,19.06,5453.0,3,0.3205614022819576,0.001791754371438338,Bangladesh,BGD
12,8.37,19364.0,1,0.49442505316952573,0.052018314928606035,Barbados,BRB
13,1.21,21224.0,1,0.5538650282727062,0.08381526728617081,Belarus,BLR
14,2.0,50904.0,2,0.6902630031390262,0.013361528638194812,Belgium,BEL
15,8.14,8791.0,1,0.4644007500050672,0.029319886012180562,Belize,BLZ
16,30.56,3648.0,0,0.165154101568998,0.002708366787603697,Benin,BEN
17,16.57,10627.0,3,0.3575006949226085,0.04075288710039994,Bhutan,BTN
18,14.56,8525.0,3,0.3831935259802639,0.014629604446873268,Bolivia,BOL
19,4.22,14894.0,1,0.5156720720085394,0.04832651145717639,Bosnia and Herzegovina,BIH
20,17.92,19388.0,3,0.34458056997930936,0.12270216404561368,Botswana,BWA
21,7.87,17106.0,1,0.49127268883486147,0.028986979233111318,Brazil,BRA
22,3.33,26034.0,1,0.5651677731203146,0.021526320037242398,Bulgaria,BGR
23,25.94,2181.0,0,0.22697835712475364,0.015378207517346771,Burkina Faso,BFA
24,20.97,724.0,3,0.2929109606419858,0.036219854064272444,Burundi,BDI
25,14.49,5004.0,3,0.3809689665775045,0.016682124427844874,Cambodia,KHM
26,26.08,4099.0,0,0.22561268089835695,0.0019409880919932423,Cameroon,CMR
27,3.33,52144.0,2,0.6948949000027662,0.019162943424387607,Canada,CAN
28,39.73,864.0,0,0.04121526387106228,0.015816790910185747,Central African Republic,CAF
29,33.26,2603.0,0,0.1285928472408447,0.004385406388189773,Chad,TCD
30,4.56,27150.0,1,0.5651611062016324,0.009396091742729798,Chile,CHL
31,3.86,20984.0,1,0.5405564185611681,0.027084064386874652,China,CHN
32,7.48,16265.0,1,0.49260898323068547,0.017221921294576344,Colombia,COL
33,29.82,2898.0,0,0.1749724178603967,0.004689630215991532,Comoros,COM
34,19.31,7336.0,3,0.31815342542230574,0.019156000289830073,Republic of the Congo,COG
35,6.16,18651.0,1,0.5151041416569029,0.008769961905458472,Costa Rica,CRI
36,2.91,29207.0,1,0.5814450822669635,0.02276376365224403,Croatia,HRV
37,2.18,8822.0,1,0.5106207564048386,0.12011173376167926,Cuba,CUB
38,1.32,42956.0,2,0.6517124868319841,0.03719588096146355,Cyprus,CYP
39,1.63,40585.0,2,0.6395341758182791,0.032752237706595744,Czech Republic,CZE
42,27.41,873.0,0,0.20691727004220753,0.025305855862147106,Democratic Republic of the Congo,COD
43,3.0,55675.0,2,0.713218295459264,0.013987828507474131,Denmark,DNK
44,30.51,5855.0,0,0.16625865455891511,0.02240106023036445,Djibouti,DJI
45,19.37,20625.0,3,0.3244390471543918,0.13762206135793897,Dominican Republic,DOM
46,7.06,11866.0,1,0.483072936684457,0.01974009176795669,Ecuador,ECU
47,11.14,14800.0,1,0.43913473982457113,0.048946487798144235,Egypt,EGY
48,6.56,8593.0,1,0.4794718437261604,0.0504820055171143,El Salvador,SLV
49,29.01,19961.0,0,0.189627722890822,0.14708816300230226,Equatorial Guinea,GNQ
50,17.82,1103.0,3,0.3346771925416518,0.04008061183350411,Eritrea,ERI
51,1.06,37606.0,2,0.6262388898085995,0.05021431609468837,Estonia,EST
52,18.43,11139.0,3,0.3322214836492345,0.05080499717510546,Eswatini,SWZ
53,27.62,2702.0,0,0.20453432780211991,0.008717986442720586,Ethiopia,ETH
54,10.84,12689.0,1,0.4392834677610963,0.028750865409155137,Fiji,FJI
